Rk,Player,Pos,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
212,Willy Hernangomez\hernawi01,C,22,262,.530,.758,116,12,10,9,9,32,135
213,Mario Hezonja\hezonma01,SF,75,1657,.515,.819,281,106,81,31,86,134,722
214,Isaiah Hicks\hicksis01,PF,18,240,.472,.667,41,16,2,4,16,45,80
215,Buddy Hield\hieldbu01,SG,80,2024,.540,.877,307,155,85,22,124,148,1079
216,Nene Hilario\hilarne01,C,52,758,.569,.636,176,45,28,14,38,123,340
217,George Hill\hillge01,PG,67,1812,.543,.786,181,186,61,27,88,128,667
217,George Hill\hillge01,PG,43,1143,.558,.778,117,119,39,12,60,75,441
217,George Hill\hillge01,PG,24,669,.516,.805,64,67,22,15,28,53,226
218,Solomon Hill\hillso01,SF,12,187,.317,.500,36,22,7,1,9,22,29
219,Darrun Hilliard\hillida01,SG,14,95,.263,.857,7,11,2,0,4,7,16
220,Jrue Holiday\holidjr01,SG,81,2927,.543,.786,365,486,123,64,213,201,1537
221,Justin Holiday\holidju01,SG,72,2265,.474,.823,291,153,80,31,93,134,876
222,John Holland\hollajo02,SF,24,174,.381,.692,24,5,7,2,8,10,54
223,Rondae Hollis-Jefferson\holliro01,SF,68,1920,.481,.788,459,167,65,48,121,145,946
224,Richaun Holmes\holmeri01,C,48,746,.568,.661,211,61,20,29,25,97,311
225,Rodney Hood\hoodro01,SG,60,1616,.513,.860,165,95,45,12,70,105,882
225,Rodney Hood\hoodro01,SG,39,1084,.516,.876,111,65,30,7,63,64,655
225,Rodney Hood\hoodro01,SG,21,532,.505,.813,54,30,15,5,7,41,227
226,Scotty Hopson\hopsosc01,SG,1,8,.000,.500,0,1,0,0,1,0,1
227,Al Horford\horfoal01,C,72,2277,.553,.783,530,339,43,78,132,138,927
228,Danuel House\houseda01,SG,23,403,.492,.806,76,25,7,6,11,23,152
229,Dwight Howard\howardw01,C,81,2463,.556,.574,1012,105,48,131,208,249,1347
230,Josh Huestis\huestjo01,PF,69,982,.420,.300,161,20,15,43,26,82,159
231,R.J. Hunter\hunterj01,SG,5,45,.425,1.000,5,3,3,0,2,7,19
232,Vince Hunter\huntevi01,PF,4,7,.600,,3,0,0,1,1,0,6
233,Serge Ibaka\ibakase01,PF,76,2093,.552,.797,478,62,29,99,90,209,959
234,Andre Iguodala\iguodan01,SF,64,1622,.514,.632,246,210,54,38,67,99,384
235,Ersan Ilyasova\ilyaser01,PF,69,1729,.526,.778,405,90,61,26,72,157,750
235,Ersan Ilyasova\ilyaser01,PF,46,1175,.535,.800,251,51,44,17,43,92,501
235,Ersan Ilyasova\ilyaser01,PF,23,554,.509,.733,154,39,17,9,29,65,249
236,Joe Ingles\inglejo01,SF,82,2578,.609,.795,344,392,90,20,159,178,940
237,Andre Ingram\ingraan01,SG,2,64,.618,1.000,6,7,3,3,3,3,24
238,Brandon Ingram\ingrabr01,SF,59,1975,.497,.681,314,230,45,43,149,163,949
239,Kyrie Irving\irvinky01,PG,60,1931,.568,.889,227,306,65,17,140,122,1466
240,Jonathan Isaac\isaacjo01,PF,27,536,.434,.760,99,18,33,30,27,48,145
241,Wesley Iwundu\iwundwe01,SF,62,1020,.447,.723,137,57,33,12,30,81,229
242,Jarrett Jack\jackja01,PG,62,1548,.455,.840,191,348,35,4,115,98,466
243,Aaron Jackson\jacksaa01,PG,1,35,.389,.500,3,1,0,0,1,4,8
244,Demetrius Jackson\jacksde01,PG,15,80,.417,.500,12,9,5,1,10,7,16
244,Demetrius Jackson\jacksde01,PG,12,63,.286,,11,5,4,1,9,6,8
244,Demetrius Jackson\jacksde01,PG,3,17,.875,.500,1,4,1,0,1,1,8
245,Josh Jackson\jacksjo02,SF,77,1959,.448,.634,351,119,80,35,146,218,1012
246,Justin Jackson\jacksju01,SF,68,1506,.510,.722,187,74,28,13,40,81,453
247,Reggie Jackson\jacksre01,PG,45,1201,.471,.836,125,238,27,4,99,87,656
248,LeBron James\jamesle01,PF,82,3026,.590,.731,709,747,116,71,347,136,2251
249,Mike James\jamesmi02,PG,36,687,.424,.762,90,126,28,7,49,48,336
249,Mike James\jamesmi02,PG,32,669,.429,.762,89,120,27,7,48,45,332
249,Mike James\jamesmi02,PG,4,18,.222,,1,6,1,0,1,3,4
250,Al Jefferson\jeffeal01,C,36,484,.534,.833,143,30,16,23,21,66,252
251,Richard Jefferson\jefferi01,SF,20,163,.481,.571,17,15,2,1,5,11,30
252,Brandon Jennings\jennibr01,PG,14,205,.438,1.000,31,44,6,4,18,11,73
253,Jonas Jerebko\jerebjo01,PF,74,1134,.562,.807,246,42,24,12,27,127,429
254,Amir Johnson\johnsam01,C,74,1171,.558,.612,330,118,45,44,55,192,342
255,Brice Johnson\johnsbr02,PF,18,98,.476,.600,31,2,9,6,5,13,43
255,Brice Johnson\johnsbr02,PF,9,38,.636,1.000,13,1,6,2,4,7,16
